Method,Return,Seed,Step,Task
ReLU,-1.0,0,2924,Pixelcopter-PLE-v0
ReLU,-1.0,0,2954,Pixelcopter-PLE-v0
ReLU,-1.0,0,2983,Pixelcopter-PLE-v0
ReLU,-1.0,0,3012,Pixelcopter-PLE-v0
ReLU,-1.0,0,3042,Pixelcopter-PLE-v0
ReLU,-2.0,0,3067,Pixelcopter-PLE-v0
ReLU,1.0,0,3110,Pixelcopter-PLE-v0
ReLU,-1.0,0,3139,Pixelcopter-PLE-v0
ReLU,-1.0,0,3168,Pixelcopter-PLE-v0
ReLU,2.0,0,3220,Pixelcopter-PLE-v0
ReLU,-1.0,0,3250,Pixelcopter-PLE-v0
ReLU,0.0,0,3289,Pixelcopter-PLE-v0
ReLU,-1.0,0,3322,Pixelcopter-PLE-v0
ReLU,0.0,0,3361,Pixelcopter-PLE-v0
ReLU,-1.0,0,3393,Pixelcopter-PLE-v0
ReLU,-1.0,0,3425,Pixelcopter-PLE-v0
ReLU,0.0,0,3461,Pixelcopter-PLE-v0
ReLU,-2.0,0,3486,Pixelcopter-PLE-v0
ReLU,-1.0,0,3517,Pixelcopter-PLE-v0
ReLU,0.0,0,3553,Pixelcopter-PLE-v0
ReLU,-1.0,0,3583,Pixelcopter-PLE-v0
ReLU,-3.0,0,3602,Pixelcopter-PLE-v0
ReLU,-2.0,0,3630,Pixelcopter-PLE-v0
ReLU,-1.0,0,3661,Pixelcopter-PLE-v0
ReLU,-1.0,0,3690,Pixelcopter-PLE-v0
ReLU,-1.0,0,3720,Pixelcopter-PLE-v0
ReLU,2.0,0,3771,Pixelcopter-PLE-v0
ReLU,2.0,0,3824,Pixelcopter-PLE-v0
ReLU,-3.0,0,3844,Pixelcopter-PLE-v0
ReLU,-1.0,0,3876,Pixelcopter-PLE-v0
ReLU,-1.0,0,3906,Pixelcopter-PLE-v0
ReLU,-2.0,0,3933,Pixelcopter-PLE-v0
ReLU,-1.0,0,3964,Pixelcopter-PLE-v0
ReLU,-1.0,0,3996,Pixelcopter-PLE-v0
ReLU,-2.0,0,4024,Pixelcopter-PLE-v0
ReLU,-1.0,0,4054,Pixelcopter-PLE-v0
ReLU,-1.0,0,4084,Pixelcopter-PLE-v0
ReLU,-1.0,0,4113,Pixelcopter-PLE-v0
ReLU,19.0,0,4262,Pixelcopter-PLE-v0
ReLU,-2.0,0,4290,Pixelcopter-PLE-v0
ReLU,-1.0,0,4319,Pixelcopter-PLE-v0
ReLU,-1.0,0,4351,Pixelcopter-PLE-v0
ReLU,-1.0,0,4381,Pixelcopter-PLE-v0
ReLU,-2.0,0,4407,Pixelcopter-PLE-v0
ReLU,-2.0,0,4435,Pixelcopter-PLE-v0
ReLU,-1.0,0,4466,Pixelcopter-PLE-v0
ReLU,-1.0,0,4496,Pixelcopter-PLE-v0
ReLU,2.0,0,4547,Pixelcopter-PLE-v0
ReLU,0.0,0,4585,Pixelcopter-PLE-v0
ReLU,-1.0,0,4615,Pixelcopter-PLE-v0
ReLU,-1.0,0,4644,Pixelcopter-PLE-v0
ReLU,-1.0,0,4676,Pixelcopter-PLE-v0
ReLU,-2.0,0,4704,Pixelcopter-PLE-v0
ReLU,-1.0,0,4733,Pixelcopter-PLE-v0
ReLU,-1.0,0,4763,Pixelcopter-PLE-v0
ReLU,-1.0,0,4793,Pixelcopter-PLE-v0
ReLU,-1.0,0,4823,Pixelcopter-PLE-v0
ReLU,3.0,0,4881,Pixelcopter-PLE-v0
ReLU,-2.0,0,4908,Pixelcopter-PLE-v0
ReLU,-1.0,0,4937,Pixelcopter-PLE-v0
ReLU,-3.0,0,4955,Pixelcopter-PLE-v0
ReLU,-2.0,0,4982,Pixelcopter-PLE-v0
ReLU,-2.0,0,5008,Pixelcopter-PLE-v0
ReLU,-1.0,0,5042,Pixelcopter-PLE-v0
ReLU,-1.0,0,5073,Pixelcopter-PLE-v0
ReLU,-2.0,0,5099,Pixelcopter-PLE-v0
ReLU,0.0,0,5134,Pixelcopter-PLE-v0
ReLU,-1.0,0,5164,Pixelcopter-PLE-v0
ReLU,8.0,0,5248,Pixelcopter-PLE-v0
ReLU,-1.0,0,5280,Pixelcopter-PLE-v0
ReLU,-2.0,0,5307,Pixelcopter-PLE-v0
ReLU,-2.0,0,5335,Pixelcopter-PLE-v0
ReLU,0.0,0,5370,Pixelcopter-PLE-v0
ReLU,-1.0,0,5404,Pixelcopter-PLE-v0
ReLU,6.0,0,5476,Pixelcopter-PLE-v0
ReLU,-1.0,0,5505,Pixelcopter-PLE-v0
ReLU,1.0,0,5547,Pixelcopter-PLE-v0
ReLU,1.0,0,5588,Pixelcopter-PLE-v0
ReLU,0.0,0,5626,Pixelcopter-PLE-v0
ReLU,-1.0,0,5656,Pixelcopter-PLE-v0
ReLU,0.0,0,5693,Pixelcopter-PLE-v0
ReLU,5.0,0,5761,Pixelcopter-PLE-v0
ReLU,-3.0,0,5782,Pixelcopter-PLE-v0
ReLU,-1.0,0,5816,Pixelcopter-PLE-v0
ReLU,-3.0,0,5836,Pixelcopter-PLE-v0
ReLU,-1.0,0,5867,Pixelcopter-PLE-v0
ReLU,-1.0,0,5901,Pixelcopter-PLE-v0
ReLU,-1.0,0,5932,Pixelcopter-PLE-v0
ReLU,-1.0,0,5964,Pixelcopter-PLE-v0
ReLU,-1.0,0,5996,Pixelcopter-PLE-v0
ReLU,4.0,0,6058,Pixelcopter-PLE-v0
ReLU,7.0,0,6139,Pixelcopter-PLE-v0
ReLU,-2.0,0,6167,Pixelcopter-PLE-v0
ReLU,-1.0,0,6197,Pixelcopter-PLE-v0
ReLU,-1.0,0,6228,Pixelcopter-PLE-v0
ReLU,0.0,0,6264,Pixelcopter-PLE-v0
ReLU,-1.0,0,6294,Pixelcopter-PLE-v0
